"title","year","rating","num_ratings"
"The Shawshank Redemption",1994,9.2,2700063
"The Godfather",1972,9.2,1874145
"The Dark Knight",2008,9,2673829
"The Godfather Part II",1974,9,1280642
"12 Angry Men",1957,9,797465
"Schindler's List",1993,8.9,1364938
"The Lord of the Rings: The Return of the King",2003,8.9,1859327
"Pulp Fiction",1994,8.8,2072588
"The Lord of the Rings: The Fellowship of the Ring",2001,8.8,1888660
"The Good, the Bad and the Ugly",1966,8.8,767026
"Forrest Gump",1994,8.8,2097216
"Fight Club",1999,8.7,2144998
"The Lord of the Rings: The Two Towers",2002,8.7,1678876
"Inception",2010,8.7,2372090
"Star Wars: Episode V - The Empire Strikes Back",1980,8.7,1301477
"The Matrix",1999,8.7,1926873
"Goodfellas",1990,8.7,1171218
"One Flew Over the Cuckoo's Nest",1975,8.6,1014171
"Se7en",1995,8.6,1666941
"Seven Samurai",1954,8.6,348482
"It's a Wonderful Life",1946,8.6,466344
"The Silence of the Lambs",1991,8.6,1443618
"City of God",2002,8.6,761677
"Saving Private Ryan",1998,8.6,1401788
"Interstellar",2014,8.6,1857186
"Life Is Beautiful",1997,8.6,700896
"The Green Mile",1999,8.6,1312444
"Star Wars",1977,8.5,1373891
"Terminator 2: Judgment Day",1991,8.5,1107324
"Back to the Future",1985,8.5,1216303
"Spirited Away",2001,8.5,772164
"The Pianist",2002,8.5,840148
"Psycho",1960,8.5,677162
"Parasite",2019,8.5,820697
"Léon: The Professional",1994,8.5,1170882
"The Lion King",1994,8.5,1067217
"Gladiator",2000,8.5,1511887
"American History X",1998,8.5,1129764
"The Departed",2006,8.5,1335090
"The Usual Suspects",1995,8.5,1092066
"The Prestige",2006,8.5,1343620
"Whiplash",2014,8.5,876833
"Casablanca",1942,8.5,575904
"Harakiri",1962,8.5,58854
"Grave of the Fireflies",1988,8.5,281063
"The Intouchables",2011,8.5,866664
"Modern Times",1936,8.4,244909
"Once Upon a Time in the West",1968,8.4,332764
"Rear Window",1954,8.4,495575
"Cinema Paradiso",1988,8.4,263895
"Alien",1979,8.4,889950
"City Lights",1931,8.4,186360
"Apocalypse Now",1979,8.4,672969
"Memento",2000,8.4,1247161
"Django Unchained",2012,8.4,1569424
"Raiders of the Lost Ark",1981,8.4,973531
"WALL·E",2008,8.4,1124943
"The Lives of Others",2006,8.4,392409
"Sunset Blvd.",1950,8.4,224017
"Paths of Glory",1957,8.4,199402
"The Shining",1980,8.4,1031559
"The Great Dictator",1940,8.4,225981
"Avengers: Infinity War",2018,8.4,1094147
"Witness for the Prosecution",1957,8.4,127179
"Aliens",1986,8.3,723388
"Spider-Man: Into the Spider-Verse",2018,8.3,540660
"American Beauty",1999,8.3,1161220
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",1964,8.3,494656
"The Dark Knight Rises",2012,8.3,1716959
"Oldboy",2003,8.3,585648
"Inglourious Basterds",2009,8.3,1463843
"Amadeus",1984,8.3,404623
"Coco",2017,8.3,517756
